id,web_status
143613651,DEAD_404_NOT_FOUND
117787772,DEAD_404_NOT_FOUND
117788097,DEAD_404_NOT_FOUND
151420630,DEAD_404_NOT_FOUND
93830430,DEAD_404_NOT_FOUND
147764912,DEAD_404_NOT_FOUND
127120110,DEAD_404_NOT_FOUND
257925319,DEAD_404_NOT_FOUND
176466253,DEAD_404_NOT_FOUND
208916880,DEAD_404_NOT_FOUND
202641608,DEAD_404_NOT_FOUND
145620339,DEAD_404_NOT_FOUND
204769056,DEAD_404_NOT_FOUND
145620240,DEAD_404_NOT_FOUND
166563503,DEAD_404_NOT_FOUND
117787610,DEAD_404_NOT_FOUND
161462139,DEAD_404_NOT_FOUND
190607380,DEAD_404_NOT_FOUND
126509403,DEAD_404_NOT_FOUND
117786726,DEAD_404_NOT_FOUND
125535336,DEAD_404_NOT_FOUND
65030450,DEAD_404_NOT_FOUND
147725975,DEAD_404_NOT_FOUND
117787158,DEAD_404_NOT_FOUND
111498886,DEAD_404_NOT_FOUND
163875998,DEAD_404_NOT_FOUND
100975524,DEAD_404_NOT_FOUND
248884068,DEAD_404_NOT_FOUND
76088752,DEAD_404_NOT_FOUND
145930918,DEAD_404_NOT_FOUND
82483699,DEAD_404_NOT_FOUND
181995308,DEAD_404_NOT_FOUND
158709058,DEAD_404_NOT_FOUND
187019235,DEAD_404_NOT_FOUND
107306636,DEAD_404_NOT_FOUND
203086771,DEAD_404_NOT_FOUND
169312755,DEAD_404_NOT_FOUND
134440708,DEAD_404_NOT_FOUND
127220834,DEAD_404_NOT_FOUND
142317004,DEAD_404_NOT_FOUND
160759193,DEAD_404_NOT_FOUND
141291191,DEAD_404_NOT_FOUND
133072782,DEAD_404_NOT_FOUND
252291210,DEAD_404_NOT_FOUND
107492777,DEAD_404_NOT_FOUND
188484139,DEAD_404_NOT_FOUND
115224963,DEAD_404_NOT_FOUND
182558499,DEAD_404_NOT_FOUND
59146196,DEAD_404_NOT_FOUND
144045727,DEAD_404_NOT_FOUND
139559779,DEAD_404_NOT_FOUND
208916875,DEAD_404_NOT_FOUND
152629860,DEAD_404_NOT_FOUND
241996851,DEAD_404_NOT_FOUND
204769244,DEAD_404_NOT_FOUND
142317167,DEAD_404_NOT_FOUND
196354381,DEAD_404_NOT_FOUND
167857460,DEAD_404_NOT_FOUND
217266826,DEAD_404_NOT_FOUND
133812050,DEAD_404_NOT_FOUND
181423285,DEAD_404_NOT_FOUND
121963863,DEAD_404_NOT_FOUND
177734953,DEAD_404_NOT_FOUND
113787739,DEAD_404_NOT_FOUND
129646080,DEAD_404_NOT_FOUND
139053722,DEAD_404_NOT_FOUND
157568330,DEAD_404_NOT_FOUND
176896859,DEAD_404_NOT_FOUND
142554733,DEAD_404_NOT_FOUND
129719374,DEAD_404_NOT_FOUND
176896861,DEAD_404_NOT_FOUND
129421690,DEAD_404_NOT_FOUND
151611805,DEAD_404_NOT_FOUND
183312621,DEAD_404_NOT_FOUND
181423299,DEAD_404_NOT_FOUND
109882424,DEAD_404_NOT_FOUND
51627319,DEAD_404_NOT_FOUND
133792612,DEAD_404_NOT_FOUND
133792323,DEAD_404_NOT_FOUND
209266313,DEAD_404_NOT_FOUND
182545676,DEAD_404_NOT_FOUND
